index,Rank,RatingTomatometer,Title,No. of Reviews,url,Year
37,38,96,Marina Abramovic: The Artist Is Present,46,https://www.rottentomatoes.com/m/marina_abramovic_the_artist_is_present_2012,2012
38,39,87,Life of Pi,251,https://www.rottentomatoes.com/m/life-of-pi,2012
39,40,94,Barbara,79,https://www.rottentomatoes.com/m/barbara_2012,2012
40,41,91,Safety Not Guaranteed,150,https://www.rottentomatoes.com/m/safety_not_guaranteed,2012
41,42,93,Headhunters,100,https://www.rottentomatoes.com/m/headhunters,2012
42,43,84,The Hunger Games,310,https://www.rottentomatoes.com/m/the_hunger_games,2012
43,44,94,Diana Vreeland: The Eye Has To Travel,71,https://www.rottentomatoes.com/m/diana_vreeland_the_eye_has_to_travel_2012,2012
44,45,94,The House I Live In,66,https://www.rottentomatoes.com/m/the_house_i_live_in,2012
45,46,94,Elena,65,https://www.rottentomatoes.com/m/elena_2012,2012
46,47,95,Sing Your Song,40,https://www.rottentomatoes.com/m/sing_your_song,2012
47,48,89,ParaNorman,183,https://www.rottentomatoes.com/m/paranorman,2012
48,49,93,"Farewell, My Queen",83,https://www.rottentomatoes.com/m/farewell_my_queen,2012
49,50,87,Frankenweenie,221,https://www.rottentomatoes.com/m/frankenweenie_2012,2012
50,51,93,First Position,76,https://www.rottentomatoes.com/m/first_position_2011,2012
51,52,93,I Wish,76,https://www.rottentomatoes.com/m/i_wish_2012,2012
52,53,93,Side by Side,68,https://www.rottentomatoes.com/m/side_by_side_2012,2012
53,54,85,The Master,253,https://www.rottentomatoes.com/m/the_master_2011,2012
54,55,87,Beasts of the Southern Wild,204,https://www.rottentomatoes.com/m/beasts_of_the_southern_wild,2012
55,56,92,Once Upon a Time in Anatolia,78,https://www.rottentomatoes.com/m/once_upon_a_time_in_anatolia,2012
56,57,92,The Central Park Five,75,https://www.rottentomatoes.com/m/the_central_park_five_2012,2012
57,58,88,Arbitrage,169,https://www.rottentomatoes.com/m/arbitrage,2012
58,59,89,Compliance,143,https://www.rottentomatoes.com/m/compliance_2012,2012
59,60,87,Wreck-it Ralph,188,https://www.rottentomatoes.com/m/wreck_it_ralph,2012
60,61,93,"Turn Me On, Dammit!",44,https://www.rottentomatoes.com/m/turn_me_on_dammit,2012
61,62,88,Bernie,163,https://www.rottentomatoes.com/m/bernie_2011,2012
62,63,93,O Som ao Redor (Neighbouring Sounds),41,https://www.rottentomatoes.com/m/o_som_ao_redor_2012,2012
63,64,90,A Royal Affair,110,https://www.rottentomatoes.com/m/en_kongelig_affaere,2012
64,65,90,Footnote,89,https://www.rottentomatoes.com/m/footnote,2012
